motif	cluster	HGNC	HGNC_mm	sub_cluster	sub_cluster_name
Hnf1A_MA1991.2	C_Hnf1A	HNF1A	Hnf1a	4A	C_NR1H2;PPARA
HNF1B_MA0153.2	C_HNF1A	HNF1B	Hnf1b	41A	C_LHX3;MEIS;HNF1A;POU4F3
HNF4A_MA0114.5	C_HNF4G	HNF4A	Hnf4a	18A	C_HNF4A
HNF4A_MA1494.2	C_HNF4A	HNF4A	Hnf4a	18A	C_HNF4A
HNF4G_MA0484.3	C_HNF4G	HNF4G	Hnf4g	18A	C_HNF4A
HOXA1_MA1495.2	C_mix-a	HOXA1	Hoxa1	3A	C_HOXB3;HOXA2;DLX
HOXA10_MA0899.2	C_HOXA10	HOXA10	Hoxa10	45A	C_HOXA10;HOXB13
Hoxa11_MA0911.2	C_HOXC10	HOXA11	Hoxa11	12A	C_HOX
Hoxa13_MA0650.4	C_HOXB13	HOXA13	Hoxa13	45A	C_HOXA10;HOXB13
HOXA2_MA0900.3	C_mix-a	HOXA2	Hoxa2	3A	C_HOXB3;HOXA2;DLX
HOXA3_MA2119.1	C_mix-a	HOXA3	Hoxa3	3A	C_HOXB3;HOXA2;DLX
HOXA4_MA1496.2	C_HOXB4	HOXA4	Hoxa4	3A	C_HOXB3;HOXA2;DLX
HOXA5_MA0158.2	C_HOXB7	HOXA5	Hoxa5	3A	C_HOXB3;HOXA2;DLX
HOXA6_MA1497.2	C_HOXB7	HOXA6	Hoxa6	3A	C_HOXB3;HOXA2;DLX
HOXA7_MA1498.3	C_Dlx2	HOXA7	Hoxa7	3A	C_HOXB3;HOXA2;DLX
HOXA9_MA0594.3	C_HOXA9	HOXA9	Hoxa9	12A	C_HOX
HOXB1_MA2093.1	C_mix-a	HOXB1	Hoxb1	3A	C_HOXB3;HOXA2;DLX
HOXB13_MA0901.3	C_HOXB13	HOXB13	Hoxb13	45A	C_HOXA10;HOXB13
HOXB2_MA0902.3	C_mix-a	HOXB2	Hoxb2	3A	C_HOXB3;HOXA2;DLX
HOXB2ELK1_MA1957.1	C_FLI1::DRGX	HOXB2::ELK1	Hoxb2::Elk1	9A	C_ELF;ETS;ELK
HOXB3_MA0903.2	C_mix-a	HOXB3	Hoxb3	3A	C_HOXB3;HOXA2;DLX
HOXB4_MA1499.2	C_HOXB4	HOXB4	Hoxb4	3A	C_HOXB3;HOXA2;DLX
HOXB5_MA0904.3	C_mix-a	HOXB5	Hoxb5	3A	C_HOXB3;HOXA2;DLX
HOXB6_MA1500.2	C_HOXB7	HOXB6	Hoxb6	3A	C_HOXB3;HOXA2;DLX
HOXB7_MA1501.2	C_HOXB7	HOXB7	Hoxb7	3A	C_HOXB3;HOXA2;DLX
HOXB8_MA1502.2	C_HOXB7	HOXB8	Hoxb8	3A	C_HOXB3;HOXA2;DLX
HOXB9_MA1503.2	C_HOXC10	HOXB9	Hoxb9	12A	C_HOX
HOXC10_MA0905.2	C_HOXC10	HOXC10	Hoxc10	12A	C_HOX
HOXC11_MA0651.3	C_HOXC10	HOXC11	Hoxc11	12A	C_HOX
HOXC12_MA0906.2	C_HOXC10	HOXC12	Hoxc12	12A	C_HOX
HOXC13_MA0907.2	C_HOXC13	HOXC13	Hoxc13	12A	C_HOX
HOXC4_MA1504.2	C_HOXB4	HOXC4	Hoxc4	3A	C_HOXB3;HOXA2;DLX
HOXC8_MA1505.2	C_mix-a	HOXC8	Hoxc8	3A	C_HOXB3;HOXA2;DLX
HOXC9_MA0485.3	C_HOXC10	HOXC9	Hoxc9	12A	C_HOX
HOXD10_MA1506.2	C_HOXC10	HOXD10	Hoxd10	12A	C_HOX
HOXD11_MA0908.2	C_HOXC10	HOXD11	Hoxd11	12A	C_HOX
HOXD12_MA0873.2	C_HOXC10	HOXD12	Hoxd12	12A	C_HOX
HOXD12ELK1_MA1958.2	C_HOXD12::ELK1	HOXD12::ELK1	Hoxd12::Elk1	9A	C_ELF;ETS;ELK
Hoxd13_MA0909.4	C_HOXB13	HOXD13	Hoxd13	45A	C_HOXA10;HOXB13
HOXD3_MA0912.2	C_mix-a	HOXD3	Hoxd3	3A	C_HOXB3;HOXA2;DLX
HOXD4_MA1507.2	C_mix-a	HOXD4	Hoxd4	3A	C_HOXB3;HOXA2;DLX
HOXD8_MA0910.3	C_HOXB7	HOXD8	Hoxd8	3A	C_HOXB3;HOXA2;DLX
HOXD9_MA0913.3	C_HOXA10	HOXD9	Hoxd9	45A	C_HOXA10;HOXB13
HSF1_MA0486.2	C_HSF2	HSF1	Hsf1	16B	C_HSF
HSF2_MA0770.1	C_HSF2	HSF2	Hsf2	16B	C_HSF
HSF4_MA0771.1	C_HSF2	HSF4	Hsf4	16B	C_HSF
IKZF1_MA1508.2	C_IKZF1	IKZF1	Ikzf1	9A	C_ELF;ETS;ELK
IKZF2_MA2326.1	C_IKZF2	IKZF2	Ikzf2	9A	C_ELF;ETS;ELK
Ikzf3_MA1992.2	C_GABPA	IKZF3	Ikzf3	9A	C_ELF;ETS;ELK
INSM1_MA0155.1	C_INSM1	INSM1	Insm1	62A	C_INSM1;CTCFL
Irf1_MA0050.4	C_Stat2	IRF1	Irf1	42A	C_IRF;STAT1-2
IRF2_MA0051.2	C_IRF2	IRF2	Irf2	42A	C_IRF;STAT1-2
IRF3_MA1418.2	C_IRF3	IRF3	Irf3	42A	C_IRF;STAT1-2
IRF4_MA1419.2	C_STAT1::STAT2	IRF4	Irf4	42A	C_IRF;STAT1-2
IRF5_MA1420.1	C_IRF5	IRF5	Irf5	42A	C_IRF;STAT1-2
IRF6_MA1509.1	C_IRF6	IRF6	Irf6	42A	C_IRF;STAT1-2
IRF7_MA0772.2	C_IRF7	IRF7	Irf7	42A	C_IRF;STAT1-2
IRF8_MA0652.2	C_STAT1::STAT2	IRF8	Irf8	42A	C_IRF;STAT1-2
IRF9_MA0653.1	C_STAT1::STAT2	IRF9	Irf9	42A	C_IRF;STAT1-2
Isl1_MA1608.2	C_Isl1	ISL1	Isl1	3A	C_HOXB3;HOXA2;DLX
ISL2_MA0914.2	C_Nkx3-2	ISL2	Isl2	54A	C_NKX2
ISX_MA0654.2	C_mix-a	ISX	Isx	3A	C_HOXB3;HOXA2;DLX
JDP2_MA0655.1	C_FOS::JUND	JDP2	Jdp2	1A	C_ATF;FOS;JUN
JDP2_MA0656.2	C_FOSL2::JUN	JDP2	Jdp2	1A	C_ATF;FOS;JUN
JUN_MA0488.2	C_FOSL2::JUN	JUN	Jun	1A	C_ATF;FOS;JUN
Jun_MA0489.3	C_FOS::JUND	JUN	Jun	1A	C_ATF;FOS;JUN
JUNB_MA0490.3	C_FOS::JUND	JUNB	Junb	1A	C_ATF;FOS;JUN
JUNB_MA1140.3	C_FOSL2::JUN	JUNB	Junb	1A	C_ATF;FOS;JUN
JUND_MA0491.3	C_FOS::JUND	JUND	Jund	1A	C_ATF;FOS;JUN
JUND_MA0492.2	C_FOSL2::JUN	JUND	Jund	1A	C_ATF;FOS;JUN
JUNJUNB_MA1132.2	C_FOS::JUND	JUN::JUNB	Jun::Junb	1A	C_ATF;FOS;JUN
JUNJUNB_MA1133.2	C_FOSL2::JUN	JUN::JUNB	Jun::Junb	1A	C_ATF;FOS;JUN
KLF1_MA0493.3	C_KLF5	KLF1	Klf1	27A	C_EGR1;KLF;SP;ZNF
KLF10_MA1511.2	C_KLF5	KLF10	Klf10	27A	C_EGR1;KLF;SP;ZNF
KLF11_MA1512.2	C_SP3	KLF11	Klf11	27A	C_EGR1;KLF;SP;ZNF
KLF12_MA0742.2	C_KLF5	KLF12	Klf12	27A	C_EGR1;KLF;SP;ZNF
KLF13_MA0657.2	C_KLF13	KLF13	Klf13	27A	C_EGR1;KLF;SP;ZNF
KLF14_MA0740.2	C_KLF5	KLF14	Klf14	27A	C_EGR1;KLF;SP;ZNF
KLF15_MA1513.2	C_KLF5	KLF15	Klf15	27A	C_EGR1;KLF;SP;ZNF
KLF16_MA0741.1	C_SP3	KLF16	Klf16	27A	C_EGR1;KLF;SP;ZNF
KLF17_MA1514.2	C_KLF17	KLF17	Klf17	27A	C_EGR1;KLF;SP;ZNF
KLF2_MA1515.2	C_KLF5	KLF2	Klf2	27A	C_EGR1;KLF;SP;ZNF
KLF3_MA1516.2	C_KLF3	KLF3	Klf3	27A	C_EGR1;KLF;SP;ZNF
KLF4_MA0039.5	C_KLF5	KLF4	Klf4	27A	C_EGR1;KLF;SP;ZNF
KLF5_MA0599.1	C_KLF5	KLF5	Klf5	27A	C_EGR1;KLF;SP;ZNF
KLF6_MA1517.2	C_KLF9	KLF6	Klf6	27A	C_EGR1;KLF;SP;ZNF
KLF7_MA1959.2	C_KLF5	KLF7	Klf7	27A	C_EGR1;KLF;SP;ZNF
KLF9_MA1107.3	C_KLF9	KLF9	Klf9	27A	C_EGR1;KLF;SP;ZNF
LBX1_MA0618.2	C_PRRX2	LBX1	Lbx1	3A	C_HOXB3;HOXA2;DLX
LBX2_MA0699.2	C_mix-a	LBX2	Lbx2	3A	C_HOXB3;HOXA2;DLX
Lef1_MA0768.3	C_Hnf1A	LEF1	Lef1	4A	C_NR1H2;PPARA
Lhx1_MA1518.3	C_Lhx1	LHX1	Lhx1	22B	C_ALX1
LHX2_MA0700.3	C_Dlx2	LHX2	Lhx2	3A	C_HOXB3;HOXA2;DLX
Lhx3_MA0135.2	C_Lhx3	LHX3	Lhx3	41A	C_LHX3;MEIS;HNF1A;POU4F3
Lhx4_MA0704.2	C_mix-a	LHX4	Lhx4	3A	C_HOXB3;HOXA2;DLX
LHX5_MA1519.2	C_mix-a	LHX5	Lhx5	3A	C_HOXB3;HOXA2;DLX
LHX6_MA0658.2	C_mix-a	LHX6	Lhx6	3A	C_HOXB3;HOXA2;DLX
Lhx8_MA0705.2	C_mix-a	LHX8	Lhx8	3A	C_HOXB3;HOXA2;DLX
LHX9_MA0701.3	C_PRRX2	LHX9	Lhx9	3A	C_HOXB3;HOXA2;DLX
LIN54_MA0619.2	C_LIN54	LIN54	Lin54	24A	C_POU3F3
LMX1A_MA0702.3	C_mix-a	LMX1A	Lmx1a	3A	C_HOXB3;HOXA2;DLX
LMX1B_MA0703.3	C_mix-a	LMX1B	Lmx1b	3A	C_HOXB3;HOXA2;DLX
MAF_MA1520.2	C_MAFA	MAF	Maf	1A	C_ATF;FOS;JUN
MAFA_MA1521.2	C_MAFA	MAFA	Mafa	1A	C_ATF;FOS;JUN
Mafb_MA0117.3	C_MAFF	MAFB	Mafb	51A	C_MAFF
MAFF_MA0495.4	C_MAFF	MAFF	Maff	51A	C_MAFF
Mafg_MA0659.4	C_MAFG::NFE2L1	MAFG	Mafg	1A	C_ATF;FOS;JUN
MAFGNFE2L1_MA0089.3	C_MAFG::NFE2L1	MAFG::NFE2L1	Mafg::Nfe2L1	1A	C_ATF;FOS;JUN
MAFK_MA0496.4	C_MAFG::NFE2L1	MAFK	Mafk	1A	C_ATF;FOS;JUN
MAFNFE2_MA0501.2	C_MAFG::NFE2L1	MAF::NFE2	Maf::Nfe2	1A	C_ATF;FOS;JUN
MAX_MA0058.4	C_Mlxip	MAX	Max	21A	C_HIF1A;HEY1
MAXMYC_MA0059.2	C_MAX::MYC	MAX::MYC	Max::Myc	21A	C_HIF1A;HEY1
MAZ_MA1522.2	C_PATZ1	MAZ	Maz	27A	C_EGR1;KLF;SP;ZNF
Mecom_MA0029.2	C_Mecom	MECOM	Mecom	11A	C_GATA
MEF2A_MA0052.5	C_MEF2D	MEF2A	Mef2a	30A	C_MEF2A
MEF2B_MA0660.1	C_MEF2D	MEF2B	Mef2b	30A	C_MEF2A
MEF2C_MA0497.2	C_MEF2D	MEF2C	Mef2c	30A	C_MEF2A
MEF2D_MA0773.1	C_MEF2D	MEF2D	Mef2d	30A	C_MEF2A
MEIS1_MA0498.3	C_MEIS1	MEIS1	Meis1	34A	C_MEIS2;PKNOX1
MEIS1_MA1639.2	C_PBX2	MEIS1	Meis1	34A	C_MEIS2;PKNOX1
MEIS2_MA0774.1	C_MEIS1	MEIS2	Meis2	34A	C_MEIS2;PKNOX1
MEIS2_MA1640.2	C_PBX2	MEIS2	Meis2	34A	C_MEIS2;PKNOX1
MEIS3_MA0775.2	C_MEIS1	MEIS3	Meis3	34A	C_MEIS2;PKNOX1
MEOX1_MA0661.2	C_mix-a	MEOX1	Meox1	3A	C_HOXB3;HOXA2;DLX
MEOX2_MA0706.2	C_mix-a	MEOX2	Meox2	3A	C_HOXB3;HOXA2;DLX
MGA_MA0801.1	C_TBX2	MGA	Mga	13A	C_EOMES;TBX
MGAEVX1_MA1960.2	C_MGA::EVX1	MGA::EVX1	Mga::Evx1	13A	C_EOMES;TBX
MITF_MA0620.4	C_BHLHE41	MITF	Mitf	13B	C_SREBF;CREB3
mix-a_MA0621.2	C_mix-a	mix-a	mix-a	#N/A	#N/A
MIXL1_MA0662.2	C_mix-a	MIXL1	Mixl1	3A	C_HOXB3;HOXA2;DLX
MLX_MA0663.1	C_ARNT2	MLX	Mlx	21A	C_HIF1A;HEY1
Mlxip_MA0622.2	C_Mlxip	MLXIP	Mlxip	21A	C_HIF1A;HEY1
MLXIPL_MA0664.2	C_ARNT2	MLXIPL	Mlxipl	21A	C_HIF1A;HEY1
MNT_MA0825.2	C_Mlxip	MNT	Mnt	21A	C_HIF1A;HEY1
MNX1_MA0707.3	C_mix-a	MNX1	Mnx1	3A	C_HOXB3;HOXA2;DLX
MSANTD3_MA1523.2	C_MSANTD3	MSANTD3	Msantd3	54A	C_NKX2
MSC_MA0665.1	C_Tcf21	MSC	Msc	6A	C_ASCL;MYOD1
Msgn1_MA1524.3	C_Msgn1	MSGN1	Msgn1	84A	C_MSGN1
MSX1_MA0666.3	C_Dlx2	MSX1	Msx1	3A	C_HOXB3;HOXA2;DLX
MSX2_MA0708.3	C_Dlx2	MSX2	Msx2	3A	C_HOXB3;HOXA2;DLX
Msx3_MA0709.2	C_Dlx2	MSX3	Msx3	3A	C_HOXB3;HOXA2;DLX
MTF1_MA0863.1	C_MTF1	MTF1	Mtf1	125A	C_MTF1
MXI1_MA1108.3	C_MXI1	MXI1	Mxi1	6A	C_ASCL;MYOD1
MYB_MA0100.4	C_MYB	MYB	Myb	6A	C_ASCL;MYOD1
MYBL1_MA0776.1	C_MYBL1	MYBL1	Mybl1	48A	C_MYBL;OVOL1
MYBL2_MA0777.1	C_MYBL2	MYBL2	Mybl2	48A	C_MYBL;OVOL1
MYC_MA0147.4	C_Mlxip	MYC	Mga::Evx1	21A	C_HIF1A;HEY1
MYCN_MA0104.5	C_Mlxip	MYCN	Mycn	21A	C_HIF1A;HEY1
MYF5_MA1641.2	C_Twist2	MYF5	Myf5	6A	C_ASCL;MYOD1
MYF6_MA0667.1	C_MYF6	MYF6	Myf6	6A	C_ASCL;MYOD1
MYOD1_MA0499.3	C_MYOD1	MYOD1	Myod1	6A	C_ASCL;MYOD1
MYOG_MA0500.3	C_Twist2	MYOG	Myog	6A	C_ASCL;MYOD1
MZF1_MA0056.3	C_MZF1	MZF1	Mzf1	32A	C_MZF1;NFKB1
Nanog_MA2339.1	C_Nanog	NANOG	Nanog	#N/A	#N/A
NEUROD1_MA1109.2	C_NEUROD1	NEUROD1	Neurod1	6A	C_ASCL;MYOD1
Neurod2_MA0668.3	C_NEUROD1	NEUROD2	Neurod2	6A	C_ASCL;MYOD1
Neurod2_MA1993.2	C_Twist2	NEUROD2	Neurod2	6A	C_ASCL;MYOD1
NEUROG1_MA0623.2	C_ATOH7	NEUROG1	Neurog1	6A	C_ASCL;MYOD1
NEUROG2_MA0669.1	C_NEUROG2	NEUROG2	Neurog2	6A	C_ASCL;MYOD1
NEUROG2_MA1642.2	C_NEUROD1	NEUROG2	Neurog2	6A	C_ASCL;MYOD1
Nfat5_MA0606.3	C_Nfat5	NFAT5	Nfat5	44A	C_NFATC
Nfatc1_MA0624.3	C_NFATC3	NFATC1	Nfatc1	44A	C_NFATC
Nfatc2_MA0152.3	C_Nfatc2	NFATC2	Nfatc2	44A	C_NFATC
NFATC3_MA0625.3	C_NFATC3	NFATC3	Nfatc3	44A	C_NFATC
NFATC4_MA1525.3	C_NFATC3	NFATC4	Nfatc4	44A	C_NFATC
NFE2_MA0841.2	C_FOS::JUND	NFE2	Nfe2	1A	C_ATF;FOS;JUN
Nfe2l2_MA0150.3	C_MAFG::NFE2L1	NFE2L2	Nfe2l2	1A	C_ATF;FOS;JUN
NFIA_MA0670.2	C_NFIA	NFIA	Nfia	49A	C_NFIA;HIC
NFIB_MA1643.2	C_NFIB	NFIB	Nfib	28A	C_NFIB
NFIC_MA0161.3	C_NFIA	NFIC	Nfic	28A	C_NFIB
NFIC_MA1527.2	C_NFIB	NFIC	Nfic	28A	C_NFIB
NFICTLX1_MA0119.1	C_NFIB	NFIC::TLX1	Nfic::Tlx1	28A	C_NFIB
NFIL3_MA0025.3	C_DBP	NFIL3	Nfil3	5A	C_CEBPA;DBP
NFIX_MA0671.2	C_NFIA	NFIX	Nfix	28A	C_NFIB
NFIX_MA1528.2	C_NFIB	NFIX	Nfix	28A	C_NFIB
NFKB1_MA0105.4	C_NFKB2	NFKB1	Nfkb1	32A	C_MZF1;NFKB1
NFKB2_MA0778.2	C_NFKB2	NFKB2	Nfkb2	32A	C_MZF1;NFKB1
NFYA_MA0060.4	C_NFYC	NFYA	Nfya	17A	C_NFYA;NFYB
NFYB_MA0502.3	C_NFYB	NFYB	Nfyb	17A	C_NFYA;NFYB
NFYC_MA1644.2	C_NFYC	NFYC	Nfyc	17A	C_NFYA;NFYB
NHLH1_MA0048.3	C_Twist2	NHLH1	Nhlh1	6A	C_ASCL;MYOD1
NHLH2_MA1529.2	C_NHLH2	NHLH2	Nhlh2	75A	C_NHLH2
Nkx2-1_MA1994.2	C_Nkx2-1	NKX2-1	Nkx2-1	54A	C_NKX2
NKX2-2_MA1645.2	C_NKX2-2	NKX2-2	Nkx2-2	54A	C_NKX2
NKX2-3_MA0672.2	C_Nkx2-1	NKX2-3	Nkx2-3	54A	C_NKX2
NKX2-4_MA2003.2	C_Nkx2-1	NKX2-4	Nkx2-4	54A	C_NKX2
NKX2-5_MA0063.3	C_NKX2-5	NKX2-5	Nkx2-5	54A	C_NKX2
NKX2-8_MA0673.2	C_Nkx2-1	NKX2-8	Nkx2-8	54A	C_NKX2
Nkx3-1_MA0124.3	C_Nkx3-2	NKX3-1	Nkx3-1	54A	C_NKX2
Nkx3-2_MA0122.4	C_Nkx3-2	NKX3-2	Nkx3-2	54A	C_NKX2
NKX6-1_MA0674.2	C_NKX6-1	NKX6-1	Nkx6-1	3A	C_HOXB3;HOXA2;DLX
NKX6-2_MA0675.2	C_mix-a	NKX6-2	Nkx6-2	3A	C_HOXB3;HOXA2;DLX
NKX6-3_MA1530.2	C_HOXB4	NKX6-3	Nkx6-3	3A	C_HOXB3;HOXA2;DLX
Nobox_MA0125.2	C_Dlx2	NOBOX	Nobox	3A	C_HOXB3;HOXA2;DLX
NOTO_MA0710.2	C_mix-a	NOTO	Noto	3A	C_HOXB3;HOXA2;DLX
Npas2_MA0626.2	C_Mlxip	NPAS2	Npas2	21A	C_HIF1A;HEY1
Npas4_MA1995.2	C_Npas4	NPAS4	Npas4	20B	C_NPAS4;PAX5
NR1D1_MA1531.2	C_NR1D2	NR1D1	Nr1d1	4A	C_NR1H2;PPARA
NR1D2_MA1532.2	C_NR1D2	NR1D2	Nr1d2	4A	C_NR1H2;PPARA
Nr1H2_MA1996.2	C_Nr1h3	NR1H2	Nr1h2	4A	C_NR1H2;PPARA
NR1H2RXRA_MA0115.1	C_NR1H2::RXRA	NR1H2::RXRA	Nr1h2::Rxra	4A	C_NR1H2;PPARA
Nr1h3_MA2337.1	C_Nr1h3	NR1H3	Nr1h3	#N/A	#N/A
Nr1h3Rxra_MA0494.2	C_Nr1h3::Rxra	NR1H3::RXRA	Nr1h3::Rxra	58A	C_RARG;THRA;THRB
Nr1H4_MA1110.3	C_Nr1h3	NR1H4	Nr1h4	4A	C_NR1H2;PPARA
NR1H4RXRA_MA1146.2	C_NR1H4::RXRA	NR1H4::RXRA	Nr1h4::Rxra	14A	C_NR1H4;RXRA
NR1I2_MA1533.2	C_NR1I2	NR1I2	Nr1i2	61A	C_NR1I2;RXRA
NR1I3_MA1534.2	C_NR1I3	NR1I3	Nr1i3	4A	C_NR1H2;PPARA
NR2C1_MA1535.2	C_Nr1h3	NR2C1	Nr2c1	4A	C_NR1H2;PPARA
NR2C2_MA0504.2	C_Nr2f6	NR2C2	Nr2c2	4A	C_NR1H2;PPARA
NR2C2_MA1536.2	C_Nr1h3	NR2C2	Nr2c2	4A	C_NR1H2;PPARA
Nr2e1_MA0676.1	C_Nr2e1	NR2E1	Nr2e1	4A	C_NR1H2;PPARA
Nr2e3_MA0164.2	C_Nr2e3	NR2E3	Nr2e3	110B	C_NR2E3
NR2F1_MA0017.3	C_NR2F1	NR2F1	Nr2f1	4A	C_NR1H2;PPARA
NR2F1_MA1537.2	C_Nr2f6	NR2F1	Nr2f1	4A	C_NR1H2;PPARA
NR2F1_MA1538.1	C_NR2F1	NR2F1	Nr2f1	4A	C_NR1H2;PPARA
NR2F2_MA1111.2	C_Nr1h3	NR2F2	Nr2f2	4A	C_NR1H2;PPARA
Nr2f6_MA0677.2	C_Nr2f6	NR2F6	Nr2f6	4A	C_NR1H2;PPARA
Nr2F6_MA0728.1	C_Rarb	NR2F6	Nr2f6	4A	C_NR1H2;PPARA
NR2F6_MA1539.1	C_NR2F1	NR2F6	Nr2f6	4A	C_NR1H2;PPARA
NR3C1_MA0113.4	C_Pgr	NR3C1	Nr3c1	19A	C_AR;NR3C1
NR3C2_MA0727.2	C_Pgr	NR3C2	Nr3c2	19A	C_AR;NR3C1
NR4A1_MA1112.3	C_NR4A2	NR4A1	Nr4a1	4A	C_NR1H2;PPARA
NR4A2_MA0160.3	C_NR4A2	NR4A2	Nr4a2	4A	C_NR1H2;PPARA
NR4A2RXRA_MA1147.2	C_NR1H4::RXRA	NR4A2::RXRA	Nr4A2::Rxra	14A	C_NR1H4;RXRA
NR5A1_MA1540.3	C_ESRRB	NR5A1	Nr5a1	4A	C_NR1H2;PPARA
Nr5A2_MA0505.3	C_ESRRB	NR5A2	Nr5a2	4A	C_NR1H2;PPARA
NR6A1_MA1541.2	C_NR6A1	NR6A1	Nr6a1	4A	C_NR1H2;PPARA
Nrf1_MA0506.3	C_Nrf1	NRF1	Nrf1	67A	C_NRF1;TCFL5;ZBTB14
NRL_MA0842.3	C_MAFF	NRL	Nrl	51A	C_MAFF
OLIG1_MA0826.1	C_ATOH7	OLIG1	Olig1	6A	C_ASCL;MYOD1
OLIG2_MA0678.1	C_ATOH7	OLIG2	Olig2	6A	C_ASCL;MYOD1
Olig2_MA1997.2	C_Twist2	OLIG2	Olig2	6A	C_ASCL;MYOD1
OLIG3_MA0827.1	C_ATOH7	OLIG3	Olig3	6A	C_ASCL;MYOD1
ONECUT1_MA0679.3	C_ONECUT3	ONECUT1	Onecut1	41A	C_LHX3;MEIS;HNF1A;POU4F3
ONECUT2_MA0756.3	C_ONECUT3	ONECUT2	Onecut2	35A	C_ONECUT1
ONECUT3_MA0757.2	C_ONECUT3	ONECUT3	Onecut3	41A	C_LHX3;MEIS;HNF1A;POU4F3
OSR1_MA1542.2	C_OSR1	OSR1	Osr1	56A	C_ZIC2;OSR
OSR2_MA1646.2	C_OSR2	OSR2	Osr2	56A	C_ZIC2;OSR
OTX1_MA0711.2	C_RHOXF1	OTX1	Otx1	29A	C_Dmbx1;DPRX
OTX2_MA0712.3	C_RHOXF1	OTX2	Otx2	29A	C_Dmbx1;DPRX
OVOL1_MA1544.2	C_OVOL1	OVOL1	Ovol1	48A	C_MYBL;OVOL1
OVOL2_MA1545.2	C_OVOL1	OVOL2	Ovol2	48A	C_MYBL;OVOL1
PATZ1_MA1961.2	C_PATZ1	PATZ1	Patz1	27A	C_EGR1;KLF;SP;ZNF
PAX1_MA0779.2	C_PAX9	PAX1	Pax1	23A	C_PAX9;PAX6
PAX2_MA0067.3	C_PAX9	PAX2	Pax2	23A	C_PAX9;PAX6
PAX3_MA0780.1	C_Pax7	PAX3	Pax3	35A	C_ONECUT1
PAX3_MA1546.2	C_PAX3	PAX3	Pax3	35A	C_ONECUT1
PAX4_MA0068.2	C_mix-a	PAX4	Pax4	3A	C_HOXB3;HOXA2;DLX
PAX5_MA0014.4	C_PAX5	PAX5	Pax5	20B	C_NPAS4;PAX5
PAX6_MA0069.1	C_PAX6	PAX6	Pax6	23A	C_PAX9;PAX6
Pax7_MA0680.3	C_Pax7	PAX7	Pax7	41A	C_LHX3;MEIS;HNF1A;POU4F3
PAX8_MA2094.1	C_PAX9	PAX8	Pax8	#N/A	#N/A
PAX9_MA0781.2	C_PAX9	PAX9	Pax9	23A	C_PAX9;PAX6
PBX1_MA0070.2	C_PBX1	PBX1	Pbx1	41A	C_LHX3;MEIS;HNF1A;POU4F3
PBX2_MA1113.3	C_PBX2	PBX2	Pbx2	41A	C_LHX3;MEIS;HNF1A;POU4F3
PBX3_MA1114.2	C_PBX3	PBX3	Pbx3	34A	C_MEIS2;PKNOX1
PDX1_MA0132.3	C_mix-a	PDX1	Pdx1	3A	C_HOXB3;HOXA2;DLX
Pgr_MA2323.1	C_Pgr	PGR	Pgr	#N/A	#N/A
PGR_MA2327.1	C_PGR	PGR	Pgr	#N/A	#N/A
PHOX2A_MA0713.1	C_PHOX2A	PHOX2A	Phox2a	38A	C_DUX4;PHOX2A
PHOX2B_MA0681.3	C_PHOX2A	PHOX2B	Phox2b	38A	C_DUX4;PHOX2A
PITX1_MA0682.3	C_RHOXF1	PITX1	Pitx1	29A	C_Dmbx1;DPRX
PITX2_MA1547.2	C_RHOXF1	PITX2	Pitx2	29A	C_Dmbx1;DPRX
PITX3_MA0714.2	C_RHOXF1	PITX3	Pitx3	29A	C_Dmbx1;DPRX
PKNOX1_MA0782.3	C_PBX3	PKNOX1	Pknox1	34A	C_MEIS2;PKNOX1
PKNOX2_MA0783.1	C_PKNOX2	PKNOX2	Pknox2	6A	C_ASCL;MYOD1
PLAG1_MA0163.1	C_PLAG1	PLAG1	Plag1	82A	C_PLAG1
Plagl1_MA1615.2	C_Plagl1	PLAGL1	Plagl1	62A	C_INSM1;CTCFL
PLAGL2_MA1548.2	C_PLAGL2	PLAGL2	Plagl2	62A	C_INSM1;CTCFL
POU1F1_MA0784.3	C_POU3F3	POU1F1	Pou1f1	24A	C_POU3F3
POU2F1_MA0785.2	C_POU3F3	POU2F1	Pou2f1	24A	C_POU3F3
POU2F1SOX2_MA1962.1	C_POU2F1::SOX2	POU2F1::SOX2	Pou2f1::Sox2	24A	C_POU3F3
POU2F2_MA0507.3	C_POU3F3	POU2F2	Pou2f2	24A	C_POU3F3
POU2F3_MA0627.3	C_POU2F3	POU2F3	Pou2f3	24A	C_POU3F3
POU3F1_MA0786.2	C_POU3F3	POU3F1	Pou3f1	24A	C_POU3F3
POU3F2_MA0787.1	C_POU3F3	POU3F2	Pou3f2	24A	C_POU3F3
POU3F3_MA0788.1	C_POU3F3	POU3F3	Pou3f3	24A	C_POU3F3
POU3F4_MA0789.1	C_POU3F3	POU3F4	Pou3f4	24A	C_POU3F3
POU4F1_MA0790.2	C_POU4F2	POU4F1	Pou4f1	41A	C_LHX3;MEIS;HNF1A;POU4F3
POU4F2_MA0683.2	C_POU4F2	POU4F2	Pou4f2	41A	C_LHX3;MEIS;HNF1A;POU4F3
POU4F3_MA0791.2	C_POU4F2	POU4F3	Pou4f3	41A	C_LHX3;MEIS;HNF1A;POU4F3
POU5F1_MA1115.2	C_POU2F3	POU5F1	Pou5f1	24A	C_POU3F3
POU5F1B_MA0792.1	C_POU3F3	POU5F1B	Pou5f1	24A	C_POU3F3
